Browser,Browser Version,Users,Sessions,Pages/Session,Avg. Session Duration,% New Sessions,Bounce Rate
Safari,15.6.1,668638,1083090,2.83,00:02:53,59.40%,24.70%
Safari,15.5,560088,867769,2.81,00:02:48,61.53%,23.76%
Chrome,107.0.0.0,427367,812803,2.98,00:03:04,42.28%,17.03%
Safari,15.4,424852,664512,2.67,00:02:52,60.41%,31.28%
Safari,15.3,424354,666796,2.57,00:02:52,59.38%,38.12%
Safari,604.1,366481,584711,2.69,00:02:21,60.74%,22.69%
Chrome,103.0.0.0,349306,620592,3.01,00:03:09,46.75%,19.25%
Safari,16,349301,551656,2.97,00:02:44,60.24%,21.66%
Safari,14.1.2,330041,518943,2.71,00:03:01,62.56%,31.24%
Chrome,105.0.0.0,322024,571869,3.2,00:03:16,44.82%,27.52%
Safari,16.1,309338,489562,2.83,00:02:43,59.10%,16.36%
Chrome,106.0.0.0,286539,501753,3.07,00:03:08,44.25%,21.75%
Chrome,104.0.0.0,276004,474918,3.19,00:03:10,46.31%,20.12%
Safari,15.2,251437,395459,2.58,00:02:55,59.16%,33.91%
Safari,15.6,243306,377274,2.86,00:02:52,60.76%,21.20%
Chrome,108.0.0.0,229042,403243,2.91,00:02:52,44.03%,16.21%
Safari,15.1,213046,335849,2.57,00:02:58,59.22%,34.91%
Chrome,100.0.4896.127,138163,219216,2.8,00:03:12,48.39%,28.74%
Chrome,98.0.4758.101,127486,209629,2.63,00:02:32,45.73%,42.39%
Samsung Internet,18,116049,209009,2.99,00:02:42,51.38%,33.76%
Chrome,102.0.0.0,108662,169502,3.21,00:03:33,48.74%,22.72%
Samsung Internet,17,103888,184805,2.9,00:02:41,46.97%,32.21%
Chrome,97.0.4692.98,101912,159640,2.62,00:02:27,48.29%,32.88%
Chrome,96.0.4664.104,96882,152666,2.76,00:02:32,48.11%,36.79%
Chrome,101.0.4951.61,94339,160516,2.69,00:02:35,43.00%,27.51%
Samsung Internet,16,91529,178418,2.62,00:02:46,41.70%,35.25%
Samsung Internet,19,86610,159167,2.89,00:02:32,50.93%,30.05%
Chrome,98.0.4758.87,84583,134340,2.63,00:02:28,46.09%,33.00%
Android Webview,102.0.0.0,79637,133595,2.8,00:02:35,43.63%,26.38%
Safari,12.1.2,73714,113657,2.87,00:03:28,62.21%,31.70%
Chrome,97.0.4692.87,70104,106090,2.62,00:02:23,48.13%,30.76%
Chrome,97.0.4692.71,69615,104118,3.08,00:04:01,51.69%,23.80%
Chrome,97.0.4692.99,69056,100778,3.03,00:03:53,53.53%,24.85%
Chrome,101.0.4951.41,68071,111112,2.67,00:02:44,43.84%,29.26%
Chrome,98.0.4758.102,67742,100569,3.09,00:04:07,50.64%,33.62%
Chrome,99.0.4844.73,65545,102939,2.57,00:02:32,44.76%,39.01%
Chrome,99.0.4844.58,65247,102953,2.56,00:02:29,44.53%,43.00%
Safari (in-app),(not set),62672,75589,1.9,00:01:11,82.23%,42.82%
Samsung Internet,16.2,61859,117847,2.65,00:02:52,40.55%,35.44%
Safari,14.0.3,60198,91911,2.81,00:03:09,63.41%,29.56%
Safari,14.1.1,59235,91507,2.78,00:03:09,62.46%,29.70%
Chrome,96.0.4664.110,52235,77575,3.1,00:04:22,51.34%,25.62%
