Browser,Browser Version,Users,Sessions,Pages/Session,Avg. Session Duration,% New Sessions,Bounce Rate
Chrome,107.0.8858.927,1,1,1,00:00:00,100.00%,100.00%
Chrome,107.0.8967.609,1,1,1,00:00:04,100.00%,0.00%
Chrome,107.0.9049.457,1,1,1,00:00:02,100.00%,0.00%
Chrome,107.0.9062.392,1,1,1,00:00:02,100.00%,0.00%
Chrome,107.0.9146.149,1,1,1,00:00:00,100.00%,0.00%
Chrome,107.0.9169.632,1,1,1,00:00:00,100.00%,0.00%
Chrome,107.0.9226.443,1,1,1,00:00:00,0.00%,100.00%
Chrome,107.0.9228.770,1,1,1,00:00:00,0.00%,100.00%
Chrome,107.0.9261.247,1,1,2,00:00:21,100.00%,0.00%
Chrome,107.0.9268.773,1,2,1,00:00:01,50.00%,50.00%
Chrome,107.0.9319.984,1,1,1,00:00:01,100.00%,0.00%
Chrome,107.0.9385.941,1,1,1,00:00:00,100.00%,100.00%
Chrome,107.0.9397.506,1,1,1,00:00:01,100.00%,0.00%
Chrome,107.0.9398.804,1,1,1,00:00:13,100.00%,0.00%
Chrome,107.0.9413.398,1,1,1,00:00:00,100.00%,0.00%
Chrome,107.0.9433.184,1,1,2,00:00:40,100.00%,0.00%
Chrome,107.0.9452.330,1,1,1,00:00:01,100.00%,0.00%
Chrome,107.0.9460.576,1,1,1,00:00:06,100.00%,0.00%
Chrome,107.0.9517.543,1,1,2,00:01:05,100.00%,0.00%
Chrome,107.0.9524.873,1,1,1,00:00:01,100.00%,0.00%
Chrome,107.0.9534.142,1,1,1,00:00:00,100.00%,0.00%
Chrome,107.0.9570.810,1,1,1,00:00:00,100.00%,100.00%
Chrome,107.0.9572.622,1,1,1,00:00:01,100.00%,0.00%
Chrome,107.0.9596.873,1,1,1,00:00:00,100.00%,100.00%
Chrome,107.0.9610.944,1,1,1,00:00:05,100.00%,0.00%
Chrome,107.0.9620.264,1,2,1,00:00:00,50.00%,50.00%
Chrome,107.0.9683.464,1,1,1,00:00:01,100.00%,0.00%
Chrome,107.0.9755.580,1,1,1,00:00:00,100.00%,100.00%
